Title,Title_PT,Year,Era,Category,Universe,Main_Theme,Message,Quote,Based_On,IMDb_Rating,IMDb_Votes,Duration_Min,Studio_Type
Barbie in A Christmas Carol,Barbie em Um Conto de Natal,2008,Clássica,Natal,Reino vitoriano,Generosidade,Sempre há tempo para mudar e fazer o bem.,"""Kindness changes everything.""",Baseado em Charles Dickens,"6,30",4800,76,Direct-to-Video
Barbie Presents: Thumbelina,Barbie Apresenta: Polegarzinha,2009,Clássica,Fantasia,Mundo miniatura,Esperança,Mesmo os menores podem causar grandes mudanças.,"""Even the smallest voice can make a difference.""",Conto clássico,"5,80",3800,75,Direct-to-Video
Barbie and the Three Musketeers,Barbie e as Três Mosqueteiras,2009,Transição,Aventura/Princesa,Reino real,Igualdade,Qualquer garota pode ser o que quiser.,"""All for one, and one for all!""",Inspirado em Alexandre Dumas,"6,20",5400,81,Direct-to-Video
Barbie in A Mermaid Tale,Barbie em Vida de Sereia,2010,Transição,Sereia,Oceano moderno,Autodescoberta,Descobrir suas origens ajuda a entender quem você é.,"""Ride the wave of your destiny.""",Original,"6,30",6000,75,Direct-to-Video
Barbie: A Fashion Fairytale,Barbie: Moda e Magia,2010,Transição,Moda/Fantasia,Paris moderna,Criatividade,Sua luz brilha quando você é fiel ao seu estilo.,"""Magic happens when you believe in yourself.""",Original,"6,20",5100,79,Direct-to-Video
Barbie: A Fairy Secret,Barbie: Um Segredo das Fadas,2011,Transição,Fada/Modernidade,Mundo real + reino mágico,Perdão,Amizades são fortalecidas pelo perdão.,"""Friendship is the real magic.""",Original,"5,80",4300,72,Direct-to-Video
Barbie: Princess Charm School,Barbie: Escola de Princesas,2011,Transição,Princesa/Escola,Internato real,Justiça,A verdadeira realeza está em fazer o que é certo.,"""A princess is defined by her heart.""",Original,"6,40",5900,81,Direct-to-Video
Barbie: A Perfect Christmas,Barbie: Um Natal Perfeito,2011,Transição,Natal/Família,Cidade nevada,Gratidão,"Às vezes, o inesperado cria memórias perfeitas.","""Christmas is perfect when we're together.""",Original,"6,30",2500,74,Direct-to-Video
Barbie in A Mermaid Tale 2,Barbie em Vida de Sereia 2,2012,Transição,Sereia,Oceano moderno,Identidade,Você pode pertencer a dois mundos ao mesmo tempo.,"""Follow your heart’s tide.""",Original,"6,10",3400,74,Direct-to-Video
Barbie: The Princess and the Popstar,Barbie: A Princesa e a Popstar,2012,Transição,Princesa/Musical,Reino real,Autenticidade,Trocar de lugar não resolve seus problemas — ser você mesma sim.,"""Be the star you are.""",Inspiração em “O Príncipe e o Mendigo”,"5,80",3700,75,Direct-to-Video
Barbie in the Pink Shoes,Barbie e as Sapatilhas Mágicas,2013,Transição,Dança/Bailarina,Mundo mágico do balé,Coragem,Cada passo dado com coração leva ao seu destino.,"""Dance your own story.""",Inspirado em obras clássicas do balé,"6,10",3200,75,Direct-to-Video
Barbie: Mariposa and the Fairy Princess,Barbie: Mariposa e a Princesa das Fadas,2013,Transição,Fada,Florestas mágicas,União,Diferenças unem reinos quando há respeito.,"""Friendship lights the way.""",Original,"6,10",2800,83,Direct-to-Video
Barbie & Her Sisters in A Pony Tale,Barbie e Suas Irmãs em Uma Aventura de Cavalos,2013,Transição,Família/Aventura,Alpes nevados,Trabalho em equipe,"Juntas, irmãs são mais fortes.","""Sisters ride together.""",Original,"5,90",2400,72,Direct-to-Video
Barbie: The Pearl Princess,Barbie: A Princesa da Pérola,2014,Transição,Sereia/Princesa,Oceano mágico,Aceitação,Seu brilho vem de dentro — deixe-o aparecer.,"""Shine from within.""",Original,"6,10",2900,73,Direct-to-Video
Barbie and the Secret Door,Barbie e o Portal Secreto,2014,Transição,Fantasia/Princesa,Reino mágico,Confiança,A coragem nasce quando acreditamos em nossa voz.,"""Believe in your magic.""",Original,"5,70",2700,81,Direct-to-Video
Barbie in Princess Power,Barbie Super Princesa,2015,Transição,Super-heroína/Princesa,Cidade futurista,Responsabilidade,Grandes poderes pedem grandes escolhas.,"""Be your own hero.""",Original,"5,50",2600,75,Direct-to-Video
Barbie in Rock 'N Royals,Barbie em Rock’n Royals,2015,Transição,Música/Princesa,Acampamentos musicais,União,Parcerias improváveis criam mudanças verdadeiras.,"""Find your voice, change the world.""",Original,"5,90",3000,84,Direct-to-Video
Barbie & Her Sisters in The Great Puppy Adventure,Barbie e Suas Irmãs em Busca dos Cachorrinhos,2015,Transição,Família/Aventura,Cidade antiga com mistério,Coragem em família,A aventura é melhor quando compartilhada.,"""Together, we find the treasure.""",Original,"5,80",2100,76,Direct-to-Video
Barbie: Spy Squad,Barbie: Agentes Secretas,2016,Transição,Ação/Espionagem,Cidade moderna,Trabalho em equipe,Cada talento é essencial para a missão dar certo.,"""Every agent has her superpower.""",Original,"5,60",2400,75,Direct-to-Video
Barbie: Star Light Adventure,Barbie: Aventura nas Estrelas,2016,Transição,Sci-Fi/Princesa,Galáxia futurista,Destino,Seu brilho guia o caminho.,"""Let your light guide you.""",Original,"5,80",2500,79,Direct-to-Video
Barbie & Her Sisters in A Puppy Chase,Barbie e Suas Irmãs: Em Busca da Cachorrada,2016,Transição,Família/Aventura,Ilha tropical,União,"Quando irmãs trabalham juntas, tudo é possível.","""Sisters to the rescue!""",Original,"5,00",1800,79,Direct-to-Video
Barbie Video Game Hero,Barbie: A Heroína do Mundo dos Vídeos,2017,Moderna,Tecnologia/Games,Mundo digital,Adaptabilidade,O segredo é jogar com o coração.,"""Level up your courage!""",Original,"5,10",2100,72,Direct-to-Video
Barbie: Dolphin Magic,Barbie e os Golfinhos Mágicos,2017,Moderna,Aventura/Natureza,Ilha tropical + oceano,Proteção ambiental,Cuidar da natureza é cuidar de nós mesmos.,"""Protect what is precious.""",Original,"5,60",2400,63,Netflix
Barbie: Princess Adventure,Barbie: Aventura da Princesa,2020,Moderna,Princesa/Musical,Reino europeu contemporâneo,Autenticidade,A verdadeira realeza está em ser você mesma.,"""Be true, be brave, be you.""",Original,"5,50",2300,72,Netflix
"Barbie: Big City, Big Dreams","Barbie: Grandes Sonhos, Grande Cidade",2021,Moderna,Música/Amizade,Nova York,Ambição saudável,Você cresce quando apoia outras mulheres.,"""Shine together.""",Original,"5,60",2000,62,Netflix
Barbie: Mermaid Power,Barbie: Poder das Sereias,2022,Moderna,Sereia,Oceano mágico,Liderança,"Às vezes, você é chamada a liderar antes de se sentir pronta.","""Rise with the tide.""",Original,"5,30",1600,65,Netflix
Barbie: Epic Road Trip,Barbie: Viagem Épica,2022,Moderna,Aventura,Estrada/cidades modernas,Autonomia,Estradas novas levam a descobertas novas.,"""Every road leads to a new you.""",Original,"5,60",1200,65,Netflix
Barbie: Skipper and the Big Babysitting Adventure,Barbie: Skipper e Uma Grande Aventura,2023,Moderna,Família/Aventura,Cidade moderna,Autoconfiança,Você descobre do que é capaz quando assume responsabilidades.,"""You can do more than you think.""",Original,"5,40",1100,64,Netflix
Barbie: A Touch of Magic* (série/episódios especiais),Barbie: Um Toque de Magia,2023,Moderna,Fantasia,Reino e cidade contemporânea,Amizade,A magia acontece quando amizades são verdadeiras.,"""Magic begins with friendship.""",Original,"6,00",500,22 (episódio),Netflix
